"Gene1","Gene2","Gene1_Gene2","dir"
"LAMB3","DAG1","LAMB3_DAG1","LR"
"LAMB2","DAG1","LAMB2_DAG1","LR"
"LAMC3","DAG1","LAMC3_DAG1","LR"
"AGRN","DAG1","AGRN_DAG1","LR"
"LAMA1","DAG1","LAMA1_DAG1","LR"
"LAMA5","DAG1","LAMA5_DAG1","LR"
"HSPG2","DAG1","HSPG2_DAG1","LR"
"LAMC1","DAG1","LAMC1_DAG1","LR"
"LAMB4","DAG1","LAMB4_DAG1","LR"
"LAMA2","DAG1","LAMA2_DAG1","LR"
"LAMA3","DAG1","LAMA3_DAG1","LR"
"LAMA4","DAG1","LAMA4_DAG1","LR"
"LAMB1","DAG1","LAMB1_DAG1","LR"
"LAMC2","DAG1","LAMC2_DAG1","LR"
"COL4A1","ITGA11","COL4A1_ITGA11","LR"
"COL6A5","ITGA11","COL6A5_ITGA11","LR"
"COL4A6","ITGA11","COL4A6_ITGA11","LR"
"COL6A1","ITGA11","COL6A1_ITGA11","LR"
"COL6A3","ITGA11","COL6A3_ITGA11","LR"
"COL1A1","ITGA11","COL1A1_ITGA11","LR"
"COL2A1","ITGA11","COL2A1_ITGA11","LR"
"COL4A2","ITGA11","COL4A2_ITGA11","LR"
"COL4A4","ITGA11","COL4A4_ITGA11","LR"
"COL4A5","ITGA11","COL4A5_ITGA11","LR"
"COL6A2","ITGA11","COL6A2_ITGA11","LR"
"COL9A1","ITGA11","COL9A1_ITGA11","LR"
"COL9A3","ITGA11","COL9A3_ITGA11","LR"
"COL1A2","ITGA11","COL1A2_ITGA11","LR"
"COL4A3","ITGA11","COL4A3_ITGA11","LR"
"COL9A2","ITGA11","COL9A2_ITGA11","LR"
"COL6A6","ITGA11","COL6A6_ITGA11","LR"
"LAMA4","SV2C","LAMA4_SV2C","LR"
"LAMB3","SV2C","LAMB3_SV2C","LR"
"LAMA3","SV2C","LAMA3_SV2C","LR"
"LAMB4","SV2C","LAMB4_SV2C","LR"
"LAMA2","SV2C","LAMA2_SV2C","LR"
"LAMB2","SV2C","LAMB2_SV2C","LR"
"LAMC1","SV2C","LAMC1_SV2C","LR"
"LAMC3","SV2C","LAMC3_SV2C","LR"
"LAMC2","SV2C","LAMC2_SV2C","LR"
"LAMA5","SV2C","LAMA5_SV2C","LR"
"LAMB1","SV2C","LAMB1_SV2C","LR"
"LAMA1","SV2C","LAMA1_SV2C","LR"
"VWF","GP1BA","VWF_GP1BA","LR"
"VWF","GP1BB","VWF_GP1BB","LR"
"VWF","GP5","VWF_GP5","LR"
"VWF","GP9","VWF_GP9","LR"
"LAMC1","ITGA6","LAMC1_ITGA6","LR"
"LAMA2","ITGA6","LAMA2_ITGA6","LR"
"LAMC2","ITGA6","LAMC2_ITGA6","LR"
"LAMA5","ITGA6","LAMA5_ITGA6","LR"
"LAMB3","ITGA6","LAMB3_ITGA6","LR"
"LAMB2","ITGA6","LAMB2_ITGA6","LR"
"LAMB4","ITGA6","LAMB4_ITGA6","LR"
"LAMB1","ITGA6","LAMB1_ITGA6","LR"
"LAMA1","ITGA6","LAMA1_ITGA6","LR"
"LAMC3","ITGA6","LAMC3_ITGA6","LR"
"LAMA3","ITGA6","LAMA3_ITGA6","LR"
"LAMA4","ITGA6","LAMA4_ITGA6","LR"
"COL6A6","ITGA1","COL6A6_ITGA1","LR"
"LAMC1","ITGA1","LAMC1_ITGA1","LR"
"COL6A5","ITGA1","COL6A5_ITGA1","LR"
"COL1A1","ITGA1","COL1A1_ITGA1","LR"
"LAMA2","ITGA1","LAMA2_ITGA1","LR"
"LAMA1","ITGA1","LAMA1_ITGA1","LR"
"COL4A2","ITGA1","COL4A2_ITGA1","LR"
"LAMA3","ITGA1","LAMA3_ITGA1","LR"
"COL2A1","ITGA1","COL2A1_ITGA1","LR"
"COL4A3","ITGA1","COL4A3_ITGA1","LR"
"LAMB3","ITGA1","LAMB3_ITGA1","LR"
"COL1A2","ITGA1","COL1A2_ITGA1","LR"
"LAMC2","ITGA1","LAMC2_ITGA1","LR"
"LAMB1","ITGA1","LAMB1_ITGA1","LR"
"COL4A1","ITGA1","COL4A1_ITGA1","LR"
"COL4A4","ITGA1","COL4A4_ITGA1","LR"
"LAMA4","ITGA1","LAMA4_ITGA1","LR"
"COL6A1","ITGA1","COL6A1_ITGA1","LR"
"COL6A2","ITGA1","COL6A2_ITGA1","LR"
"LAMB4","ITGA1","LAMB4_ITGA1","LR"
"COL4A5","ITGA1","COL4A5_ITGA1","LR"
"LAMC3","ITGA1","LAMC3_ITGA1","LR"
"COL4A6","ITGA1","COL4A6_ITGA1","LR"
"COL6A3","ITGA1","COL6A3_ITGA1","LR"
"LAMA5","ITGA1","LAMA5_ITGA1","LR"
"COL9A1","ITGA1","COL9A1_ITGA1","LR"
"LAMB2","ITGA1","LAMB2_ITGA1","LR"
"COL9A2","ITGA1","COL9A2_ITGA1","LR"
"COL9A3","ITGA1","COL9A3_ITGA1","LR"
"COL6A6","ITGA2","COL6A6_ITGA2","LR"
"COL4A2","ITGA2","COL4A2_ITGA2","LR"
"COL6A5","ITGA2","COL6A5_ITGA2","LR"
"LAMC2","ITGA2","LAMC2_ITGA2","LR"
"LAMA3","ITGA2","LAMA3_ITGA2","LR"
"COL1A2","ITGA2","COL1A2_ITGA2","LR"
"LAMA2","ITGA2","LAMA2_ITGA2","LR"
"COL4A1","ITGA2","COL4A1_ITGA2","LR"
"COL4A3","ITGA2","COL4A3_ITGA2","LR"
"LAMC1","ITGA2","LAMC1_ITGA2","LR"
"CHAD","ITGA2","CHAD_ITGA2","LR"
"LAMA1","ITGA2","LAMA1_ITGA2","LR"
"COL1A1","ITGA2","COL1A1_ITGA2","LR"
"LAMB3","ITGA2","LAMB3_ITGA2","LR"
"COL4A5","ITGA2","COL4A5_ITGA2","LR"
"LAMA4","ITGA2","LAMA4_ITGA2","LR"
"COL4A6","ITGA2","COL4A6_ITGA2","LR"
"LAMB2","ITGA2","LAMB2_ITGA2","LR"
"COL2A1","ITGA2","COL2A1_ITGA2","LR"
"COL6A3","ITGA2","COL6A3_ITGA2","LR"
"COL6A1","ITGA2","COL6A1_ITGA2","LR"
"LAMA5","ITGA2","LAMA5_ITGA2","LR"
"COL4A4","ITGA2","COL4A4_ITGA2","LR"
"LAMB4","ITGA2","LAMB4_ITGA2","LR"
"LAMB1","ITGA2","LAMB1_ITGA2","LR"
"COL9A3","ITGA2","COL9A3_ITGA2","LR"
"COL9A1","ITGA2","COL9A1_ITGA2","LR"
"COL9A2","ITGA2","COL9A2_ITGA2","LR"
"LAMC3","ITGA2","LAMC3_ITGA2","LR"
"COL6A2","ITGA2","COL6A2_ITGA2","LR"
"VWF","ITGA2B","VWF_ITGA2B","LR"
"THBS2","ITGA2B","THBS2_ITGA2B","LR"
"THBS3","ITGA2B","THBS3_ITGA2B","LR"
"THBS1","ITGA2B","THBS1_ITGA2B","LR"
"THBS4","ITGA2B","THBS4_ITGA2B","LR"
"VTN","ITGA2B","VTN_ITGA2B","LR"
"COMP","ITGA2B","COMP_ITGA2B","LR"
"FN1","ITGA2B","FN1_ITGA2B","LR"
"COL1A2","ITGA3","COL1A2_ITGA3","LR"
"COL6A6","ITGA3","COL6A6_ITGA3","LR"
"LAMA2","ITGA3","LAMA2_ITGA3","LR"
"LAMC2","ITGA3","LAMC2_ITGA3","LR"
"LAMC1","ITGA3","LAMC1_ITGA3","LR"
"COL4A2","ITGA3","COL4A2_ITGA3","LR"
"THBS2","ITGA3","THBS2_ITGA3","LR"
"COMP","ITGA3","COMP_ITGA3","LR"
"COL6A5","ITGA3","COL6A5_ITGA3","LR"
"COL4A3","ITGA3","COL4A3_ITGA3","LR"
"COL4A1","ITGA3","COL4A1_ITGA3","LR"
"THBS3","ITGA3","THBS3_ITGA3","LR"
"COL4A5","ITGA3","COL4A5_ITGA3","LR"
"LAMB3","ITGA3","LAMB3_ITGA3","LR"
"LAMB2","ITGA3","LAMB2_ITGA3","LR"
"COL2A1","ITGA3","COL2A1_ITGA3","LR"
"COL6A1","ITGA3","COL6A1_ITGA3","LR"
"LAMA4","ITGA3","LAMA4_ITGA3","LR"
"COL1A1","ITGA3","COL1A1_ITGA3","LR"
"LAMA1","ITGA3","LAMA1_ITGA3","LR"
"COL4A6","ITGA3","COL4A6_ITGA3","LR"
"COL6A3","ITGA3","COL6A3_ITGA3","LR"
"THBS4","ITGA3","THBS4_ITGA3","LR"
"RELN","ITGA3","RELN_ITGA3","LR"
"LAMA3","ITGA3","LAMA3_ITGA3","LR"
"THBS1","ITGA3","THBS1_ITGA3","LR"
"LAMC3","ITGA3","LAMC3_ITGA3","LR"
"LAMB1","ITGA3","LAMB1_ITGA3","LR"
"COL4A4","ITGA3","COL4A4_ITGA3","LR"
"LAMB4","ITGA3","LAMB4_ITGA3","LR"
"LAMA5","ITGA3","LAMA5_ITGA3","LR"
"COL9A2","ITGA3","COL9A2_ITGA3","LR"
"COL6A2","ITGA3","COL6A2_ITGA3","LR"
"COL9A1","ITGA3","COL9A1_ITGA3","LR"
"FN1","ITGA3","FN1_ITGA3","LR"
"COL9A3","ITGA3","COL9A3_ITGA3","LR"
"SPP1","ITGA4","SPP1_ITGA4","LR"
"FN1","ITGA4","FN1_ITGA4","LR"
"FN1","ITGA5","FN1_ITGA5","LR"
"LAMC1","ITGA7","LAMC1_ITGA7","LR"
"LAMA1","ITGA7","LAMA1_ITGA7","LR"
"LAMB2","ITGA7","LAMB2_ITGA7","LR"
"LAMB1","ITGA7","LAMB1_ITGA7","LR"
"LAMC2","ITGA7","LAMC2_ITGA7","LR"
"LAMA5","ITGA7","LAMA5_ITGA7","LR"
"LAMB4","ITGA7","LAMB4_ITGA7","LR"
"LAMB3","ITGA7","LAMB3_ITGA7","LR"
"LAMC3","ITGA7","LAMC3_ITGA7","LR"
"LAMA2","ITGA7","LAMA2_ITGA7","LR"
"LAMA4","ITGA7","LAMA4_ITGA7","LR"
"LAMA3","ITGA7","LAMA3_ITGA7","LR"
"LAMB2","ITGA9","LAMB2_ITGA9","LR"
"TNC","ITGA9","TNC_ITGA9","LR"
"COL2A1","ITGA9","COL2A1_ITGA9","LR"
"LAMB3","ITGA9","LAMB3_ITGA9","LR"
"COL6A5","ITGA9","COL6A5_ITGA9","LR"
"COL4A2","ITGA9","COL4A2_ITGA9","LR"
"COL4A6","ITGA9","COL4A6_ITGA9","LR"
"COL6A3","ITGA9","COL6A3_ITGA9","LR"
"COL1A2","ITGA9","COL1A2_ITGA9","LR"
"LAMB4","ITGA9","LAMB4_ITGA9","LR"
"COL4A1","ITGA9","COL4A1_ITGA9","LR"
"LAMA3","ITGA9","LAMA3_ITGA9","LR"
"LAMC1","ITGA9","LAMC1_ITGA9","LR"
"LAMC3","ITGA9","LAMC3_ITGA9","LR"
"LAMC2","ITGA9","LAMC2_ITGA9","LR"
