gene_A	gene_B	type_A	type_B
A0A087WWS6	IFNAR1	L	R
A0A087WWS6	IFNAR2	L	R
COL6A6	ITGA10	L	R
COL6A6	ITGB1	L	R
COL6A6	ITGA2	L	R
COL6A6	ITGA3	L	R
COL6A6	ITGA1	L	R
COL6A6	ITGA9	L	R
COL6A6	ITGA11	L	R
COL6A6	ITGAV	L	R
COL6A6	ITGB8	L	R
COL6A6	SDC3	L	R
COL6A6	ITGB3	L	R
COL6A6	ITGA2B	L	R
COL6A6	ITGA5	L	R
COL6A6	ITGA4	L	R
COL6A6	CD44	L	R
COL6A6	ITGB4	L	R
COL6A6	ITGB5	L	R
COL6A6	ITGB6	L	R
COL6A6	SDC1	L	R
COL6A6	ITGA6	L	R
COL6A6	ITGB7	L	R
COL6A6	SDC2	L	R
COL6A6	ITGA8	L	R
COL6A6	DDR1	L	R
COL6A6	ITGA7	L	R
COL6A6	GP6	L	R
COL6A5	ITGA10	L	R
COL6A5	ITGB1	L	R
COL6A5	ITGA2	L	R
COL6A5	ITGA3	L	R
COL6A5	ITGA1	L	R
COL6A5	ITGA9	L	R
COL6A5	ITGA11	L	R
COL6A5	ITGAV	L	R
COL6A5	ITGB8	L	R
COL6A5	CD44	L	R
COL6A5	SDC1	L	R
COL6A5	DDR1	L	R
COL6A5	GP6	L	R
ISM1	PTK2	L	R
VWC2L	CD36	L	R
B4DXG7	F8WCM8	L	R
B4DXG7	EPHA1	L	R
B4DXG7	EPHA2	L	R
B4DXG7	EPHA8	L	R
B4DXG7	EPHB1	L	R
B4DXG7	EPHA4	L	R
B4DXG7	EPHA7	L	R
C9JV77	INSR	L	R
CGA	LHCGR	L	R
CGB1	LHCGR	L	R
GLS	GRIN1	L	R
GLS	GRIN2D	L	R
SLC1A7	GRIN1	L	R
SLC1A7	GRIN2D	L	R
GLS	GRIK1	L	R
GLS	GRIK4	L	R
SLC1A7	GRIK1	L	R
SLC1A7	GRIK4	L	R
GLS	GRIK5	L	R
SLC1A7	GRIK5	L	R
GLS	GRIN2A	L	R
SLC1A7	GRIN2A	L	R
GLS	GRIN2B	L	R
SLC1A7	GRIN2B	L	R
GLS	GRIN2C	L	R
SLC1A7	GRIN2C	L	R
GLS	GRIK2	L	R
SLC1A7	GRIK2	L	R
GLS	GRIK3	L	R
SLC1A7	GRIK3	L	R
GLS	GRM8	L	R
SLC1A7	GRM8	L	R
GLS	GRM6	L	R
SLC1A7	GRM6	L	R
GLS	GRM5	L	R
SLC1A7	GRM5	L	R
GLS	GRIA1	L	R
SLC1A7	GRIA1	L	R
GLS	GRIA2	L	R
SLC1A7	GRIA2	L	R
GLS	GRIA3	L	R
SLC1A7	GRIA3	L	R
GLS	GRIA4	L	R
SLC1A7	GRIA4	L	R
GLS	GRM1	L	R
SLC1A7	GRM1	L	R
GLS	GRM2	L	R
SLC1A7	GRM2	L	R
GLS	GRM7	L	R
SLC1A7	GRM7	L	R
GLS	GRM3	L	R
SLC1A7	GRM3	L	R
GLS	GRM4	L	R
SLC1A7	GRM4	L	R
GLS2	GRIN1	L	R
GLS2	GRIN2D	L	R
GLS2	GRIK1	L	R
GLS2	GRIK4	L	R
GLS2	GRIK5	L	R
GLS2	GRIN2A	L	R
GLS2	GRIN2B	L	R
GLS2	GRIN2C	L	R
GLS2	GRIK2	L	R
GLS2	GRIK3	L	R
GLS2	GRM8	L	R
GLS2	GRM6	L	R
GLS2	GRM5	L	R
GLS2	GRIA1	L	R
GLS2	GRIA2	L	R
GLS2	GRIA3	L	R
GLS2	GRIA4	L	R
GLS2	GRM1	L	R
GLS2	GRM2	L	R
GLS2	GRM7	L	R
GLS2	GRM3	L	R
GLS2	GRM4	L	R
PTGES	PTGER1	L	R
PTGES	PTGER4	L	R
PTGES	PTGER3	L	R
PTGES	PTGER2	L	R
HSD17B6	NR1H4	L	R
LAMA5	ITGA6	L	R
LAMA5	ITGB1	L	R
LAMB1	ITGA6	L	R
LAMB1	ITGB1	L	R
LAMC1	ITGA6	L	R
LAMC1	ITGB1	L	R
CYP27B1	VDR	L	R
FLRT2	ADGRL3	L	R
UNC5D	ADGRL3	L	R
BMP15	ACVR1B	L	R
BMP15	BMPR1B	L	R
BMP15	BMPR2	L	R
GDF9	ACVR1B	L	R
GDF9	BMPR1B	L	R
GDF9	BMPR2	L	R
CLCF1	CNTFR	L	R
CLCF1	IL6ST	L	R
CRLF1	CNTFR	L	R
CRLF1	IL6ST	L	R
CLCF1	LIFR	L	R
CRLF1	LIFR	L	R
ALDH1A2	CRABP2	L	R
ALDH1A2	RARA	L	R
ALDH1A2	RXRA	L	R
ALDH1A2	RARB	L	R
ALDH1A2	RXRB	L	R
ALDH1A2	RARG	L	R
ALDH1A2	RXRG	L	R
SLC1A3	GRIN1	L	R
SLC1A3	GRIN2D	L	R
SLC1A3	GRIK1	L	R
SLC1A3	GRIK4	L	R
SLC1A3	GRIK5	L	R
SLC1A3	GRIN2A	L	R
SLC1A3	GRIN2B	L	R
SLC1A3	GRIN2C	L	R
SLC1A3	GRIK2	L	R
SLC1A3	GRIK3	L	R
SLC1A3	GRM8	L	R
SLC1A3	GRM6	L	R
SLC1A3	GRM5	L	R
SLC1A3	GRIA1	L	R
SLC1A3	GRIA2	L	R
SLC1A3	GRIA3	L	R
SLC1A3	GRIA4	L	R
SLC1A3	GRM1	L	R
SLC1A3	GRM2	L	R
SLC1A3	GRM7	L	R
SLC1A3	GRM3	L	R
SLC1A3	GRM4	L	R
SLC1A2	GRIN1	L	R
SLC1A2	GRIN2D	L	R
SLC1A2	GRIK1	L	R
SLC1A2	GRIK4	L	R
SLC1A2	GRIK5	L	R
SLC1A2	GRIN2A	L	R
SLC1A2	GRIN2B	L	R
SLC1A2	GRIN2C	L	R
SLC1A2	GRIK2	L	R
SLC1A2	GRIK3	L	R
SLC1A2	GRM8	L	R
SLC1A2	GRM6	L	R
SLC1A2	GRM5	L	R
SLC1A2	GRIA1	L	R
SLC1A2	GRIA2	L	R
SLC1A2	GRIA3	L	R
SLC1A2	GRIA4	L	R
SLC1A2	GRM1	L	R
SLC1A2	GRM2	L	R
SLC1A2	GRM7	L	R
SLC1A2	GRM3	L	R
SLC1A2	GRM4	L	R
SLC1A1	GRIN1	L	R
SLC1A1	GRIN2D	L	R
SLC1A1	GRIK1	L	R
SLC1A1	GRIK4	L	R
SLC1A1	GRIK5	L	R
SLC1A1	GRIN2A	L	R
SLC1A1	GRIN2B	L	R
SLC1A1	GRIN2C	L	R
SLC1A1	GRIK2	L	R
SLC1A1	GRIK3	L	R
SLC1A1	GRM8	L	R
SLC1A1	GRM6	L	R
SLC1A1	GRM5	L	R
SLC1A1	GRIA1	L	R
SLC1A1	GRIA2	L	R
SLC1A1	GRIA3	L	R
SLC1A1	GRIA4	L	R
SLC1A1	GRM1	L	R
