Gene stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
ENSMUSG00000064341	P03888	Q4JFN6
ENSMUSG00000064345	P03893	Q9MD59
ENSMUSG00000064351	P00397	Q9MD68
ENSMUSG00000064354	P00405	Q7JCZ1
ENSMUSG00000064356	P03930	Q7JCZ0
ENSMUSG00000064357	P00848	Q7JCY9
ENSMUSG00000064358	P00416	Q7JCX7
ENSMUSG00000064360	P03899	Q7GIP5
ENSMUSG00000065947	P03903	Q9MD77
ENSMUSG00000064363	P03911	Q7JCY6
ENSMUSG00000064367	P03921	Q9MD82
ENSMUSG00000064368	P03925	Q7JCY4
ENSMUSG00000064370	P00158	Q7JCZ3
ENSMUSG00000095019		A0AAG1GJD0
ENSMUSG00000096776		Q8R2C0
ENSMUSG00000095250		A0AAG1GIV0
ENSMUSG00000094915		A0AAG1GJT8
ENSMUSG00000094303		A0AAG1F751
ENSMUSG00000079800		Q3TR44
ENSMUSG00000094741		Q8C9W1
ENSMUSG00000094836		A0AAG1F7D3
ENSMUSG00000079222		A0AAG1F924
ENSMUSG00000096244		Q9EPT1
ENSMUSG00000094722		D3YUJ6
ENSMUSG00000095666		J3QK78
ENSMUSG00000095787		A0AAG1GIT8
ENSMUSG00000074720		A0AAG1F886
ENSMUSG00000095092		A0AAG1GIV0
ENSMUSG00000096236		A0AAG1GHN1
ENSMUSG00000096100		A0AAG1GJQ8
ENSMUSG00000094874		A0AAG1GIV0
ENSMUSG00000095041		A0AAG1GJX7
ENSMUSG00000096680		A0AAG1GLY0
ENSMUSG00000079192		A0AAG1F8X7
ENSMUSG00000095672		A0AAG1GKF8
ENSMUSG00000095500		A0AAG1GKJ7
ENSMUSG00000095505		Q8C6S1
ENSMUSG00000094383		A0AAG1GAD3
ENSMUSG00000079794		A0AAG1FKP8
ENSMUSG00000096756		A0AAG1GJS6
ENSMUSG00000094337		Q3UL33
ENSMUSG00000095450		A0AAG1GIT8
ENSMUSG00000094337		E9PVT6
ENSMUSG00000079190		A0AAG1F914
ENSMUSG00000094728		A0AAG1GIT8
ENSMUSG00000094799		A0AAG1FEU1
ENSMUSG00000079808		A0AAG1FCE8
ENSMUSG00000094474		D3YUJ6
ENSMUSG00000095570		A0AAG1GHQ8
ENSMUSG00000062783		Q8BYZ8
ENSMUSG00000094791		A0AAG1GNA1
ENSMUSG00000094514		A0AAG1GIV8
ENSMUSG00000096728		A0AAG1GKN4
ENSMUSG00000096808		A0AAG1GPI2
ENSMUSG00000096550		Q3UL49
ENSMUSG00000094172		A0AAG1GI25
ENSMUSG00000094887		Q5XK27
ENSMUSG00000091585		A0AAG1GD13
ENSMUSG00000095763		A0AAG1GNH3
ENSMUSG00000095523		D3YUJ6
ENSMUSG00000095475		A0AAG1GPB3
ENSMUSG00000094855		L7N456
ENSMUSG00000095634		Q5FWD4
ENSMUSG00000100032		A0A087WRK3
ENSMUSG00000100535		A0A087WRK1
ENSMUSG00000099782		A0A087WRK1
ENSMUSG00000101157		A0A087WRK1
ENSMUSG00000094575		Q810R8
ENSMUSG00000101146		A0A087WRK1
ENSMUSG00000100902		A0A087WRK1
ENSMUSG00000100892		A0A087WRK1
ENSMUSG00000096898		Q5FWD4
ENSMUSG00000094739		Q9D9T3
ENSMUSG00000101471		A0A087WNW5
ENSMUSG00000095650		Q62461
ENSMUSG00000100240		A0A087WPP3
ENSMUSG00000102122		A0A087WRK1
ENSMUSG00000099856		A0A087WRK1
ENSMUSG00000094729		Q5FWB5
ENSMUSG00000100045		A0A087WRK1
ENSMUSG00000093950		Q810R8
ENSMUSG00000100856		Q810R0
ENSMUSG00000101766		A0A087WRK1
ENSMUSG00000095785		Q810R8
ENSMUSG00000093993		J3QNV4
ENSMUSG00000093993		A0A087WQC7
ENSMUSG00000096666		Q5M8R5
ENSMUSG00000095302		Q149W4
ENSMUSG00000096016		J3QNI1
ENSMUSG00000096016		A0A087WQA3
ENSMUSG00000103919		A0A087WRK1
ENSMUSG00000093868		Q62458
ENSMUSG00000101667		A0A087WPY7
ENSMUSG00000093918	O35698	
ENSMUSG00000094511		J3QK27
ENSMUSG00000093987	O35698	
ENSMUSG00000095948	O35698	
ENSMUSG00000096520	Q60990	
ENSMUSG00000093927		J3QN17
ENSMUSG00000095148		J3QMQ9
ENSMUSG00000096686		J3KML6
ENSMUSG00000100939		A0A087WRP6
ENSMUSG00000094081		J3QK38
ENSMUSG00000100645		A0A087WRP6
ENSMUSG00000099861		A0A087WSM5
ENSMUSG00000095324		J3QM67
ENSMUSG00000101928		A0A087WS97
ENSMUSG00000101053		J3KMI0
ENSMUSG00000095032		J3QQ23
ENSMUSG00000095242		J3QM72
ENSMUSG00000094838		J3KMI7
ENSMUSG00000095172		J3KMI7
ENSMUSG00000094294		Q5FWB5
ENSMUSG00000093848		Q62460
ENSMUSG00000053211	P10925	
ENSMUSG00000069053	P31254	
ENSMUSG00000056673		Q8BQM3
ENSMUSG00000056673	Q62240	
ENSMUSG00000056673		A0A087WR43
ENSMUSG00000069049	Q9Z0N2	
ENSMUSG00000068457		E9Q504
ENSMUSG00000068457		D6RFT4
ENSMUSG00000068457		G3X9F2
ENSMUSG00000068457		E9PWW8
ENSMUSG00000068457		Q3UQE8
ENSMUSG00000068457		D6RJL0
ENSMUSG00000068457		D3Z2A3
ENSMUSG00000068457		F7BBC1
ENSMUSG00000069045	Q62095	
ENSMUSG00000069045		A0A087WQV7
ENSMUSG00000069044	F8VPU6	
ENSMUSG00000000103	P20662	
ENSMUSG00000094881		A9Z055
ENSMUSG00000069036	Q05738	Q53WV7
ENSMUSG00000095573		A9Z055
ENSMUSG00000102053		A0A087WR82
ENSMUSG00000094658	O35698	
ENSMUSG00000095852		B2RWR6
ENSMUSG00000091987		B2RWR6
ENSMUSG00000095365		Q9D3U4
ENSMUSG00000102739		Q3TTD8
ENSMUSG00000094325		Q3TTD8
ENSMUSG00000095267		J3QPX2
ENSMUSG00000095520		J3QPZ4
ENSMUSG00000104267		A0A0A6YXX7
ENSMUSG00000103468		Q3TTD8
ENSMUSG00000093903		J3QPX2
ENSMUSG00000121543		A0A9L6KDR4
ENSMUSG00000121557		A0A9L6KDR9
ENSMUSG00000121556		A0A9L6KEB1
ENSMUSG00000101155		A0A087WSR0
ENSMUSG00000101155		A0A087WNQ6
ENSMUSG00000101155		A0A087WRK1
ENSMUSG00000096122		Q5FWD5
ENSMUSG00000101399		A0A087WPA5
ENSMUSG00000094052		J3QPK8
ENSMUSG00000099948		A0A9L6KDI9
ENSMUSG00000100231		A0A087WNW4
ENSMUSG00000095508		J3QPZ4
ENSMUSG00000095606		J3QNV4
ENSMUSG00000095606		A0A087WQC7
ENSMUSG00000094570		A0A087WRK1
ENSMUSG00000095867		Q62457
ENSMUSG00000094746		A0A087WSR0
ENSMUSG00000094746		A0A087WRK1
ENSMUSG00000095793		A0A087WRK1
ENSMUSG00000095793		A0A087WSR0
ENSMUSG00000096650		A0A087WRK1
ENSMUSG00000099531		A0A087WRK1
ENSMUSG00000094660		Q497R7
ENSMUSG00000099840		A0A9L6KDV5
ENSMUSG00000099840		A0A087WRK1
ENSMUSG00000100485		A0A087WRK1
ENSMUSG00000100485		A0A087WSR0
ENSMUSG00000101158		A0A087WRK1
ENSMUSG00000101158		A0A087WSR0
ENSMUSG00000101286		A0A087WSR0
ENSMUSG00000101286		A0A087WRK1
ENSMUSG00000101933		A0A087WRK1
ENSMUSG00000101933		A0A087WSR0
ENSMUSG00000099894		A0A9L6KDJ7
ENSMUSG00000099894		A0A087WSS0
ENSMUSG00000096769		A0A087WPJ9
ENSMUSG00000094616		A0A087WQA3
ENSMUSG00000094647		J3QNI1
ENSMUSG00000094647		A0A087WSL2
ENSMUSG00000094821		A0A087WQA3
ENSMUSG00000094821		J3QNI1
ENSMUSG00000095979		A0A087WQA3
ENSMUSG00000095979		J3QNI1
ENSMUSG00000096902		A0A087WQA3
ENSMUSG00000096902		J3QNI1
ENSMUSG00000102045		A0A087WS79
ENSMUSG00000095153		A0A087WR14
ENSMUSG00000095153		A0A9L6KE25
ENSMUSG00000099541		A0A087WR99
ENSMUSG00000099541		A0A9L6KEG0
ENSMUSG00000100055		A0A087WR99
ENSMUSG00000100055		A0A9L6KEG0
ENSMUSG00000100708		A0A087WRK3
ENSMUSG00000100708		A0A9L6KDW0
ENSMUSG00000100726		A0A087WRK3
ENSMUSG00000100726		A0A9L6KDW0
ENSMUSG00000100972		A0A087WRK3
ENSMUSG00000100972		A0A9L6KDW0
ENSMUSG00000095578		A0A087WP44
ENSMUSG00000095578		A0A9L6KDK8
ENSMUSG00000095135		A0A087WQ24
ENSMUSG00000095135		A0A9L6KEG3
ENSMUSG00000100667		A0A087WRF5
ENSMUSG00000100667		A0A087WP97
ENSMUSG00000101653		A0A087WRF5
ENSMUSG00000101653		A0A087WP97
ENSMUSG00000093895		A0A087WRL2
ENSMUSG00000093895		A0A9L6KE30
ENSMUSG00000103371		A0A087WRL2
ENSMUSG00000103371		A0A9L6KE30
ENSMUSG00000104191		A0A087WRL2
